A_时间窗口,B_账户请求数,C_账户访问量,D_ruyisdk_访问量,E_ruyisdk_页面浏览量,F_support_matrix_访问量,G_support_matrix_页面浏览量,H_board_docs_访问量,I_board_docs_页面浏览量,collect_date,window_utc_start,window_utc_end,account_window_utc,rum_window_utc
TOTAL,57739,19598,2440,2990,3320,4970,130,230,,,,,
A_时间窗口,B_账户请求数,C_账户访问量,D_ruyisdk_访问量,E_ruyisdk_页面浏览量,F_support_matrix_访问量,G_support_matrix_页面浏览量,H_board_docs_访问量,I_board_docs_页面浏览量,collect_date,window_utc_start,window_utc_end
20260822095504-20260901000000,57739,19598,2440,2990,3320,4970,130,230,20260923,2026-08-22T09:55:04Z,2026-08-31T16:00:00Z
20260301000000-20260401000000,0,0,0,0,0,0,0,0,20260923,2026-02-28T16:00:00Z,2026-03-31T16:00:00Z,"(超出保留期,按0计)",2026-03-27T10:31:21Z/2026-03-31T16:00:00Z
